ms,T_fast_g,T_slow_g,v_line_mps,leash_m,pwm_state,enc_count,dTdt_gps
12340,8.2941,9.2738,0.088051,0.2014,60,2287,0.18
12440,9.1796,9.3056,0.088051,0.2068,60,2349,9.04
12540,11.159,9.8926,0.088051,0.2133,60,2422,19.99
12640,13.36,10.8971,0.088051,0.2172,60,2467,22.46
12740,18.3407,13.0693,0,0.2178,0,2473,50.31
12840,28.1893,17.4648,-0.088051,0.2136,-104,2426,100.5
12940,31.5676,21.2017,-0.264154,0.1965,-118,2232,34.47
13040,26.0957,22.0832,-0.264154,0.174,-96,1976,-55.27
13140,14.5125,19.4666,-0.176103,0.1533,0,1741,-118.2
13240,8.6554,16.3977,-0.088051,0.1411,0,1602,-59.77
13340,6.3741,13.7492,0,0.1355,0,1539,-23.04
13440,6.5627,11.9644,0,0.1346,0,1529,1.92
13540,7.3897,10.8724,0,0.1346,0,1529,8.44
13640,7.9964,10.1913,0,0.1346,0,1529,6.13
13740,7.6025,9.5195,0,0.1346,0,1529,-3.98
13840,7.2591,8.9329,0,0.1346,0,1529,-3.5
13940,7.1915,8.4934,0.088051,0.1367,60,1552,-0.69
14040,7.1512,8.1553,0.088051,0.1429,60,1623,-0.41
14140,8.383,8.2892,0,0.1492,60,1695,12.57
14240,12.8802,9.718,0.088051,0.1554,60,1765,45.89
14340,15.8656,11.4415,0,0.158,0,1794,30.16
14440,16.2233,12.6593,0,0.158,0,1794,3.65
14540,14.3084,12.9519,0,0.158,0,1794,-19.54
14640,11.6406,12.4573,0,0.158,0,1794,-26.95
14740,10.527,11.9051,0,0.158,0,1794,-11.36
14840,10.6847,11.6099,0,0.158,0,1794,1.59
14940,10.0837,11.1908,0,0.158,0,1794,-6.07
15040,9.0523,10.5917,0,0.1606,60,1825,-10.52
15140,8.8053,10.1297,0,0.1658,60,1884,-2.45
15240,10.639,10.3716,0.088051,0.1716,60,1949,17.46
15340,16.7567,13.1303,0,0.1732,0,1967,34.04
15440,14.7864,13.4212,0,0.1732,0,1967,-7.31
15540,11.0884,12.6069,0,0.1732,0,1967,-33.26
15640,9.3166,11.6736,0,0.1732,0,1967,-20.65
15740,9.2381,11.0598,0,0.1732,0,1967,-2.1
15840,9.3004,10.6238,0.088051,0.1733,60,1968,0.52
15940,9.3028,10.2937,0,0.1765,60,2005,0.05
16040,10.882,10.5395,0,0.1821,60,2068,15.73
16140,14.4595,11.7431,0.088051,0.1885,0,2141,36.14
16240,16.1824,12.9606,0,0.1889,0,2145,17.6
16340,17.0572,14.0394,0,0.1889,0,2145,8.97
16440,14.1697,13.8915,0,0.1889,0,2145,-29.3
16540,10.3088,12.7545,0,0.1889,0,2145,-38.98
16640,8.7356,11.6515,0,0.1889,0,2145,-16.09
16740,8.2375,10.7668,0,0.189,60,2147,-5.09
16840,8.6613,10.2669,0.088051,0.1932,60,2194,4.28
16940,10.2549,10.3635,0,0.199,60,2260,16.26
17040,13.4014,11.3197,0,0.2047,0,2325,31.78
17140,15.3643,12.4535,0,0.2049,0,2327,19.83
17240,14.4991,12.9108,0,0.2049,0,2327,-8.82
17340,13.3385,12.9452,0,0.2049,0,2327,-11.84
17440,12.3707,12.7411,0,0.2049,0,2327,-9.88
17540,11.4008,12.3454,0,0.2049,0,2327,-9.8
17640,13.4626,12.7535,0,0.2049,0,2327,21.04
17740,14.5949,13.2847,0,0.2049,0,2327,11.55
17840,12.7676,13.0412,0,0.2049,0,2327,-18.46
17940,12.1713,12.7864,0,0.2049,0,2327,-6.08
18040,13.65,13.0947,0,0.2049,0,2327,15.09
18140,15.2109,13.7214,0,0.2049,0,2327,15.77
18240,16.7792,14.5838,0,0.2049,0,2327,15.84
18340,17.3155,15.3003,0,0.2049,0,2327,5.47
18440,16.8851,15.6696,0,0.2049,0,2327,-4.35
18540,16.3845,15.817,0,0.2049,0,2327,-5.11
18640,16.4396,15.9761,0,0.2049,0,2327,0.56
18740,17.0068,16.2692,0,0.2049,0,2327,5.79
18840,16.4159,16.269,0,0.2049,0,2327,-5.97
18940,15.7601,16.1008,0,0.2049,0,2327,-6.69
19040,15.824,16.0356,0,0.2049,0,2327,0.65
19140,16.049,16.053,0,0.2049,0,2327,2.27
19240,15.8841,16.0004,0,0.2049,0,2327,-1.68
19340,15.8859,15.9719,0,0.2049,0,2327,0.02
19440,15.9808,15.9801,0,0.2049,0,2327,0.95
19540,16.2258,16.0568,0,0.2049,0,2327,2.5
19640,16.2695,16.1127,0,0.2049,0,2327,0.45
19740,16.1873,16.1262,0,0.2049,0,2327,-0.84
19840,16.0346,16.0938,0,0.2049,0,2327,-1.54
19940,19.6289,17.2022,0,0.201,-120,2283,36.68
20040,26.1625,19.8506,-0.088051,0.19,-96,2157,66.67
20140,21.0742,19.8385,-0.088051,0.173,-76,1964,-51.4
20240,10.1115,16.7216,-0.088051,0.1579,0,1793,-111.86
20340,5.4784,13.6212,-0.088051,0.1502,0,1706,-47.28
20440,4.5998,11.3109,0,0.1481,0,1682,-8.87
20540,5.6943,9.9752,0,0.1482,0,1683,11.17
20640,7.0501,9.3286,0,0.1482,0,1683,13.83
20740,8.0778,9.0802,0,0.1482,0,1683,10.28
20840,8.3164,8.9041,0,0.1482,0,1683,2.44
20940,8.6242,8.8534,0,0.1482,0,1683,3.14
21040,8.7038,8.821,0,0.1507,60,1713,0.81
21140,8.1972,8.6334,0,0.1571,60,1785,-5.12
21240,9.5564,8.9491,0.088051,0.1622,60,1842,12.94
21340,13.4468,10.3166,0.088051,0.1652,60,1876,40.11
21465,25.2188,16.441,-0.088051,0.1582,0,1796,58.63
21565,20.4876,17.1569,-0.176103,0.1441,-73,1635,-48.24
21665,10.2208,14.7812,-0.176103,0.1276,0,1449,-103.7
21765,4.8315,11.957,0,0.1171,0,1329,-55
21865,4.1539,9.9638,0,0.1127,0,1280,-6.92
21965,5.2405,8.8509,0,0.1124,0,1276,10.87
22065,7.3723,8.6145,0,0.1124,0,1276,21.75
22165,8.8492,8.7655,0,0.1124,0,1276,15.07
22265,8.2701,8.6055,0,0.1124,0,1276,-5.91
22365,7.5756,8.3046,0,0.1124,0,1276,-7.02
22465,7.3729,8.059,0,0.1127,60,1280,-2.07
22565,7.6665,7.9792,0.088051,0.1183,60,1344,3
22665,8.8516,8.2714,0.088051,0.1255,60,1425,11.97
22765,12.3474,9.5089,0.088051,0.1323,60,1503,35.67
22865,15.2557,11.1273,0,0.137,0,1556,29.68
22965,16.8389,12.6542,0,0.137,0,1556,15.99
23065,15.7781,13.3689,0,0.137,0,1556,-10.71
23165,11.4354,12.6141,0,0.137,0,1556,-44.31
23265,9.3409,11.6649,0,0.137,0,1556,-21.16
23365,8.8125,10.9187,0,0.137,0,1556,-5.39
23465,8.7713,10.3793,0.088051,0.138,60,1567,-0.42
23565,9.3108,10.1459,0,0.1423,60,1616,5.51
23665,11.9839,10.7725,0.088051,0.1478,60,1679,27
23766,15.0862,12.0448,0,0.151,0,1715,31.66
23866,16.5721,13.2695,0,0.151,0,1715,15.16
23966,15.8361,13.8651,0,0.151,0,1715,-7.43
24066,12.2786,13.2462,0,0.151,0,1715,-36.3
24166,10.4984,12.448,0,0.151,0,1715,-18.17
24266,10.1202,11.8424,0,0.151,0,1715,-3.82
24366,10.4952,11.529,0,0.151,0,1715,3.79
24466,10.8797,11.3907,0,0.151,0,1715,3.92
24566,10.5118,11.148,0,0.151,0,1715,-3.75
24666,10.5171,10.9906,0,0.151,0,1715,0.05
24766,9.8204,10.6545,0,0.1527,60,1734,-7.11
24866,9.5909,10.3743,0.088051,0.1575,60,1789,-2.34
24966,11.8074,10.8711,0,0.1625,60,1846,22.39
25066,15.016,12.1078,0,0.1637,0,1859,32.74
25166,18.1642,13.8187,0,0.1637,0,1859,32.12
25266,21.0629,15.8109,-0.088051,0.1581,-76,1795,29.28
25366,18.4451,16.3058,-0.088051,0.1498,0,1701,-26.71
25466,12.3281,14.9291,0,0.1472,0,1672,-62.42
25566,6.4044,12.4277,0,0.1473,0,1673,-59.24
25666,5.9829,10.7901,0,0.1473,0,1673,-4.3
25766,6.361,9.7065,0,0.1473,0,1673,3.82
25866,6.5421,8.9267,0,0.1473,0,1673,1.81
25966,8.4467,8.5378,0,0.1473,0,1673,9.32
26066,9.4675,8.834,0,0.1473,0,1673,12.49
26166,8.7949,8.7822,0,0.1505,60,1710,-2.71
26266,9.3064,8.9452,0.088051,0.1565,60,1777,3.62
26366,14.0756,10.5259,0.088051,0.162,60,1840,45.4
26466,17.0635,12.347,0,0.1675,0,1902,31.22
26566,16.6935,13.4105,0,0.1683,0,1911,-2.7
26667,15.0667,13.7229,0,0.1683,0,1911,-16.13
26767,11.6834,13.0016,0,0.1683,0,1911,-33.94
26867,10.3216,12.2465,0,0.1683,0,1911,-14.05
26967,10.0609,11.6838,0,0.1683,0,1911,-2.72
27067,10.2319,11.3315,0,0.1683,0,1911,1.73
27167,10.1809,11.0407,0,0.1683,0,1911,-0.51
27267,9.8448,10.7207,0,0.1684,60,1912,-3.43
27367,10.0099,10.5533,0,0.1713,60,1947,1.68
27467,12.757,11.2759,0.088051,0.1756,0,1994,27.74
27567,16.9326,12.9511,0,0.1756,0,1994,42.6
27667,15.874,13.6156,0,0.1756,0,1994,-10.79
27767,12.3897,13.0914,0,0.1756,0,1994,-35.19
27867,11.2823,12.5699,0,0.1756,0,1994,-11.19
27967,11.1887,12.2188,0,0.1756,0,1994,-0.96
28067,11.0154,11.9071,0,0.1756,0,1994,-1.75
28167,10.4593,11.5104,0,0.1756,0,1994,-5.67
28267,10.2878,11.194,0,0.1756,0,1994,-1.75
28367,10.3701,10.9932,0,0.1756,0,1994,0.84
28467,10.0195,10.7279,0,0.1762,60,2001,-3.54
28567,9.4537,10.3739,0.088051,0.1809,60,2054,-5.77
28667,10.6347,10.5129,0,0.1868,60,2123,12.05
28767,13.4638,11.4275,0,0.192,0,2181,28.58
28867,14.5544,12.2774,0,0.192,0,2181,11.13
28967,13.9652,12.6625,0,0.192,0,2181,-6.01
29067,11.487,12.2137,0,0.192,0,2181,-25.03
29167,10.1615,11.6178,0,0.192,0,2181,-13.53
29267,9.6057,11.0801,0,0.192,0,2181,-5.61
29367,9.1809,10.5787,0.088051,0.1932,60,2194,-4.34
29467,8.9983,10.1722,0,0.1981,60,2250,-1.84
29568,10.2519,10.2705,0.044026,0.2039,60,2316,12.79
29668,12.6284,11.0085,0,0.2072,0,2353,24.25
29768,12.8809,11.4924,0,0.2072,0,2353,2.55
29868,13.2709,11.9614,0,0.2072,0,2353,3.98
29968,14.5193,12.6789,0,0.2072,0,2353,12.74
30068,13.6087,12.8544,0,0.2072,0,2353,-9.2
30168,11.3748,12.3449,0,0.2072,0,2353,-22.8
30268,9.9224,11.6485,0,0.2072,0,2353,-14.82
30368,9.3177,11.028,0,0.2072,0,2353,-6.11
30468,9.5422,10.6706,0,0.2089,60,2372,2.29
30568,9.9701,10.5222,0,0.2126,60,2414,4.37
30668,10.9504,10.6905,0,0.2147,60,2438,9.9
30768,14.7709,11.9494,0,0.2146,0,2437,38.59
30868,19.6108,14.1673,-0.088051,0.2099,0,2384,49.39
30968,22.067,16.2957,-0.176103,0.1998,-80,2269,25.06
31068,18.7026,16.6872,-0.088051,0.1886,0,2142,-33.98
31168,11.2527,14.8629,0,0.1838,0,2086,-76.02
31268,7.0406,12.6441,0,0.1832,0,2081,-42.98
31368,5.908,10.8893,0,0.1832,0,2081,-11.44
31468,5.6725,9.5704,0,0.1832,0,2081,-2.4
31568,5.8222,8.6427,0,0.1832,0,2081,1.53
31668,6.2605,8.0745,0,0.1832,0,2081,4.47
31768,6.3834,7.6594,0,0.1832,0,2081,1.23
31868,6.2012,7.0343,0.088051,0.1863,60,2116,-0.75
31968,7.3587,7.1878,0,0.1935,60,2198,4.36
32068,11.1253,8.4076,0.088051,0.2008,60,2280,29.97
32168,13.8574,9.9408,0,0.2076,60,2358,29.76
32268,14.8186,11.2203,0.088051,0.2141,0,2432,12.13
32368,15.3865,12.2973,0,0.2152,0,2444,6.09
32468,14.2164,12.704,0,0.2152,0,2444,-11.19
32568,11.273,12.1623,0,0.2152,0,2444,-29.17
