Timestamp,RawReading,Weight_g
2025-09-18 11:59:10.465,167277,29.50
2025-09-18 11:59:11.244,194779,29.80
2025-09-18 11:59:12.028,126093,18.82
2025-09-18 11:59:12.808,158465,38.97
2025-09-18 11:59:13.587,153602,26.37
2025-09-18 11:59:14.367,167348,30.36
2025-09-18 11:59:15.148,124864,21.40
2025-09-18 11:59:15.928,266737,50.53
2025-09-18 11:59:16.707,172972,33.74
2025-09-18 11:59:17.488,123410,24.46
2025-09-18 11:59:18.269,151181,26.08
2025-09-18 11:59:19.047,136523,19.45
2025-09-18 11:59:19.828,121586,19.07
2025-09-18 11:59:20.608,135344,36.69
2025-09-18 11:59:21.385,142333,19.94
2025-09-18 11:59:22.168,124853,19.84
2025-09-18 11:59:22.944,166126,43.05
2025-09-18 11:59:23.728,134281,20.60
2025-09-18 11:59:24.509,120121,21.88
2025-09-18 11:59:25.287,123420,20.33
2025-09-18 11:59:26.068,137165,25.66
2025-09-18 11:59:26.847,265188,51.15
2025-09-18 11:59:27.629,207970,36.43
2025-09-18 11:59:28.407,148997,37.13
2025-09-18 11:59:29.186,156632,26.28
2025-09-18 11:59:29.966,127369,21.50
2025-09-18 11:59:30.748,129734,22.30
2025-09-18 11:59:31.528,133934,20.78
2025-09-18 11:59:32.308,133094,31.46
2025-09-18 11:59:33.089,133687,24.85
2025-09-18 11:59:33.868,172693,29.29
2025-09-18 11:59:34.648,135773,21.47
2025-09-18 11:59:35.427,177945,33.70
2025-09-18 11:59:36.209,143848,24.76
2025-09-18 11:59:36.985,131758,42.33
2025-09-18 11:59:37.769,210034,47.29
2025-09-18 11:59:38.547,241953,44.87
2025-09-18 11:59:39.329,238797,45.41
2025-09-18 11:59:40.110,251212,38.62
2025-09-18 11:59:40.888,128906,20.88
2025-09-18 11:59:41.669,128762,24.44
2025-09-18 11:59:42.449,130758,19.40
2025-09-18 11:59:43.229,166371,20.65
2025-09-18 11:59:44.009,247946,31.65
2025-09-18 11:59:44.789,124626,21.66
2025-09-18 11:59:45.570,152948,37.88
2025-09-18 11:59:46.347,160415,32.10
2025-09-18 11:59:47.129,173395,18.96
2025-09-18 11:59:47.909,121791,18.82
2025-09-18 11:59:48.690,133256,19.81
2025-09-18 11:59:49.468,134868,21.84
2025-09-18 11:59:50.248,141107,22.74
2025-09-18 11:59:51.029,133389,23.75
2025-09-18 11:59:51.808,154300,26.21
2025-09-18 11:59:52.590,139746,22.91
2025-09-18 11:59:53.369,152535,23.88
2025-09-18 11:59:54.150,172959,35.61
2025-09-18 11:59:54.929,170523,19.98
2025-09-18 11:59:55.707,130823,21.70
2025-09-18 11:59:56.488,211752,35.48
2025-09-18 11:59:57.268,195419,25.56
2025-09-18 11:59:58.048,122303,22.34
2025-09-18 11:59:58.828,190469,40.28
2025-09-18 11:59:59.610,232020,43.19
2025-09-18 12:00:00.387,155314,28.89
2025-09-18 12:00:01.170,142208,24.28
2025-09-18 12:00:01.948,162491,30.52
2025-09-18 12:00:02.730,180696,31.53
2025-09-18 12:00:03.507,196833,34.59
2025-09-18 12:00:04.290,138748,24.97
2025-09-18 12:00:05.069,125674,24.79
2025-09-18 12:00:05.850,128377,23.45
2025-09-18 12:00:06.630,153943,33.25
2025-09-18 12:00:07.410,167729,30.45
2025-09-18 12:00:08.190,135805,22.88
2025-09-18 12:00:08.970,138482,24.33
2025-09-18 12:00:09.751,135445,22.79
2025-09-18 12:00:10.530,121808,18.68
2025-09-18 12:00:11.310,126398,20.07
2025-09-18 12:00:12.091,134372,29.39
2025-09-18 12:00:12.868,196696,33.18
2025-09-18 12:00:13.650,149716,28.53
2025-09-18 12:00:14.431,160857,26.09
2025-09-18 12:00:15.209,179674,37.26
2025-09-18 12:00:15.991,241599,44.63
2025-09-18 12:00:16.770,188026,27.59
2025-09-18 12:00:17.550,196040,30.14
2025-09-18 12:00:18.329,229178,43.28
2025-09-18 12:00:19.109,206767,33.05
2025-09-18 12:00:19.890,176264,23.97
2025-09-18 12:00:20.668,133635,21.65
2025-09-18 12:00:21.451,122933,18.80
2025-09-18 12:00:22.228,117804,19.89
2025-09-18 12:00:23.008,126346,20.10
2025-09-18 12:00:23.790,129313,22.66
2025-09-18 12:00:24.570,119309,35.06
2025-09-18 12:00:25.351,119522,19.16
2025-09-18 12:00:26.131,124399,23.06
2025-09-18 12:00:26.909,126426,24.35
2025-09-18 12:00:27.691,255870,28.91
2025-09-18 12:00:28.470,220240,44.82
2025-09-18 12:00:29.250,191008,25.32
2025-09-18 12:00:30.030,132855,20.80
2025-09-18 12:00:30.809,135701,19.58
2025-09-18 12:00:31.588,130463,20.77
2025-09-18 12:00:32.372,122134,19.57
2025-09-18 12:00:33.151,126558,20.08
2025-09-18 12:00:33.928,129118,21.09
2025-09-18 12:00:34.711,125623,19.55
2025-09-18 12:00:35.489,120304,19.34
2025-09-18 12:00:36.271,123274,21.90
2025-09-18 12:00:37.050,134167,20.89
2025-09-18 12:00:37.831,135547,41.49
2025-09-18 12:00:38.610,218245,47.59
2025-09-18 12:00:39.390,138909,19.14
2025-09-18 12:00:40.171,120193,19.46
2025-09-18 12:00:40.951,249649,39.87
2025-09-18 12:00:41.731,191385,27.70
2025-09-18 12:00:42.508,150245,27.84
2025-09-18 12:00:43.289,120268,19.83
2025-09-18 12:00:44.070,122741,28.51
2025-09-18 12:00:44.848,250999,47.69
2025-09-18 12:00:45.630,134930,19.23
2025-09-18 12:00:46.410,117165,21.15
2025-09-18 12:00:47.190,153121,28.06
2025-09-18 12:00:47.968,170300,25.43
2025-09-18 12:00:48.750,224246,45.66
2025-09-18 12:00:49.528,225477,40.38
2025-09-18 12:00:50.310,117401,18.83
2025-09-18 12:00:51.091,118574,18.37
2025-09-18 12:00:51.868,123417,27.29
2025-09-18 12:00:52.650,235732,24.40
2025-09-18 12:00:53.429,208957,29.29
2025-09-18 12:00:54.209,141888,34.08
2025-09-18 12:00:54.991,120340,18.90
2025-09-18 12:00:55.768,119424,19.76
2025-09-18 12:00:56.547,140341,22.83
2025-09-18 12:00:57.331,171916,32.98
2025-09-18 12:00:58.109,183302,37.87
2025-09-18 12:00:58.891,223851,38.12
2025-09-18 12:00:59.671,171473,27.76
2025-09-18 12:01:00.448,140777,23.19
2025-09-18 12:01:01.230,168871,20.09
2025-09-18 12:01:02.011,121311,20.07
2025-09-18 12:01:02.790,219674,40.93
2025-09-18 12:01:03.568,210339,41.47
2025-09-18 12:01:04.351,210222,41.12
2025-09-18 12:01:05.130,204542,36.62
2025-09-18 12:01:05.910,201654,37.94
2025-09-18 12:01:06.691,191055,33.15
